Country,Region,ResidenceType,Year,PM25,HealthCategory,HealthImpactScore,lat,long
Belgium,Europe,Total,2019,11.26,Moderate,2,50.63889496311262,4.645938194702398
Brazil,Americas,Urban,2019,11.26,Moderate,2,-10.639048767332707,-53.215733923741304
Japan,Western Pacific,Cities,2019,11.32,Moderate,2,37.46088047559287,137.6600062659808
France,Europe,Urban,2019,11.34,Moderate,2,7.1683720871806145,-41.01788402535021
Paraguay,Americas,Rural,2019,11.46,Moderate,2,-23.208909339152218,-58.443432990284975
Austria,Europe,Total,2019,11.51,Moderate,2,47.592293442958706,14.110430066704852
Lithuania,Europe,Towns,2019,11.52,Moderate,2,55.32377006198488,23.897099877574927
Latvia,Europe,Towns,2019,11.55,Moderate,2,56.85952164578425,24.920447008391992
Belgium,Europe,Urban,2019,11.57,Moderate,2,50.63889496311262,4.645938194702398
Panama,Americas,Rural,2019,11.6,Moderate,2,8.52023299495937,-80.11877624020535
Lithuania,Europe,Urban,2019,11.67,Moderate,2,55.32377006198488,23.897099877574927
Guyana,Americas,Urban,2019,11.7,Moderate,2,4.789642907600431,-58.97992099271873
Brazil,Americas,Cities,2019,11.75,Moderate,2,-10.639048767332707,-53.215733923741304
Panama,Americas,Total,2019,11.78,Moderate,2,8.52023299495937,-80.11877624020535
Namibia,Africa,Total,2019,11.81,Moderate,2,-22.069690013855066,17.195019957489034
Lithuania,Europe,Cities,2019,11.83,Moderate,2,55.32377006198488,23.897099877574927
Panama,Americas,Cities,2019,11.85,Moderate,2,8.52023299495937,-80.11877624020535
Panama,Americas,Urban,2019,11.89,Moderate,2,8.52023299495937,-80.11877624020535
Germany,Europe,Cities,2019,11.92,Moderate,2,51.05057720039199,10.364371589292613
Argentina,Americas,Towns,2019,11.97,Moderate,2,-34.68398767122581,-64.76261489391939
Guyana,Americas,Cities,2019,12.01,Moderate,2,4.789642907600431,-58.97992099271873
Latvia,Europe,Total,2019,12.02,Moderate,2,56.85952164578425,24.920447008391992
France,Europe,Cities,2019,12.03,Moderate,2,39.82685756403953,-9.989894842728972
Argentina,Americas,Total,2019,12.04,Moderate,2,-34.68398767122581,-64.76261489391939
Panama,Americas,Towns,2019,12.05,Moderate,2,8.52023299495937,-80.11877624020535
Republic of Moldova,Europe,Rural,2019,12.06,Moderate,2,47.18717283670143,28.465619168033435
Ukraine,Europe,Rural,2019,12.15,Moderate,2,49.19560823173951,31.315583848435377
Suriname,Americas,Total,2019,12.17,Moderate,2,4.129848287854486,-55.91243117427252
Malta,Europe,Towns,2019,12.21,Moderate,2,35.92147212267087,14.405376786768006
Romania,Europe,Rural,2019,12.23,Moderate,2,45.84841398366041,24.983181796396863
Italy,Europe,Rural,2019,12.26,Moderate,2,42.71568614580387,12.201048504731768
Republic of Moldova,Europe,Towns,2019,12.29,Moderate,2,47.18717283670143,28.465619168033435
Belgium,Europe,Cities,2019,12.3,Moderate,2,50.63889496311262,4.645938194702398
Paraguay,Americas,Total,2019,12.31,Moderate,2,-23.208909339152218,-58.443432990284975
Kenya,Africa,Urban,2019,12.33,Moderate,2,0.5994488365065361,37.79622826715814
Zimbabwe,Africa,Rural,2019,12.34,Moderate,2,-18.997046809067218,29.851013379676168
Namibia,Africa,Towns,2019,12.34,Moderate,2,-22.069690013855066,17.195019957489034
Maldives,South-East Asia,Cities,2019,12.34,Moderate,2,3.7284611744052643,73.45708054812312
Republic of Moldova,Europe,Total,2019,12.37,Moderate,2,47.18717283670143,28.465619168033435
Austria,Europe,Urban,2019,12.42,Moderate,2,47.592293442958706,14.110430066704852
Paraguay,Americas,Towns,2019,12.49,Moderate,2,-23.208909339152218,-58.443432990284975
Botswana,Africa,Rural,2019,12.51,Moderate,2,-22.16524478709958,23.808612894002028
Kenya,Africa,Total,2019,12.52,Moderate,2,0.5994488365065361,37.79622826715814
Kenya,Africa,Rural,2019,12.68,Moderate,2,0.5994488365065361,37.79622826715814
Maldives,South-East Asia,Urban,2019,12.69,Moderate,2,3.7284611744052643,73.45708054812312
Greece,Europe,Rural,2019,12.7,Moderate,2,39.047959603655926,22.96428544230628
Republic of Moldova,Europe,Urban,2019,12.74,Moderate,2,47.18717283670143,28.465619168033435
Suriname,Americas,Towns,2019,12.78,Moderate,2,4.129848287854486,-55.91243117427252
Morocco,Eastern Mediterranean,Rural,2019,12.8,Moderate,2,29.76685913718276,-8.727847752068008
Botswana,Africa,Total,2019,12.82,Moderate,2,-22.16524478709958,23.808612894002028
Argentina,Americas,Rural,2019,12.85,Moderate,2,-34.68398767122581,-64.76261489391939
Malta,Europe,Total,2019,12.93,Moderate,2,35.92147212267087,14.405376786768006
Cuba,Americas,Towns,2019,12.93,Moderate,2,21.637935340166706,-78.98705412942007
Malta,Europe,Urban,2019,12.94,Moderate,2,35.92147212267087,14.405376786768006
Maldives,South-East Asia,Total,2019,13,Moderate,2,3.7284611744052643,73.45708054812312
Cyprus,Europe,Rural,2019,13.01,Moderate,2,34.91708733807884,33.00581030462204
Suriname,Americas,Urban,2019,13.03,Moderate,2,4.129848287854486,-55.91243117427252
Zimbabwe,Africa,Towns,2019,13.07,Moderate,2,-18.997046809067218,29.851013379676168
Malta,Europe,Cities,2019,13.08,Moderate,2,35.92147212267087,14.405376786768006
Zimbabwe,Africa,Total,2019,13.08,Moderate,2,-18.997046809067218,29.851013379676168
Ukraine,Europe,Towns,2019,13.12,Moderate,2,49.19560823173951,31.315583848435377
Namibia,Africa,Urban,2019,13.13,Moderate,2,-22.069690013855066,17.195019957489034
Colombia,Americas,Rural,2019,13.14,Moderate,2,3.9034800533900924,-73.07703226574134
Morocco,Eastern Mediterranean,Towns,2019,13.2,Moderate,2,29.76685913718276,-8.727847752068008
Suriname,Americas,Cities,2019,13.21,Moderate,2,4.129848287854486,-55.91243117427252
Paraguay,Americas,Urban,2019,13.23,Moderate,2,-23.208909339152218,-58.443432990284975
Colombia,Americas,Towns,2019,13.26,Moderate,2,3.9034800533900924,-73.07703226574134
Romania,Europe,Total,2019,13.3,Moderate,2,45.84841398366041,24.983181796396863
Cuba,Americas,Total,2019,13.32,Moderate,2,21.637935340166706,-78.98705412942007
Singapore,Western Pacific,Cities,2019,13.33,Moderate,2,1.358762240040157,103.817255835084
Singapore,Western Pacific,Total,2019,13.33,Moderate,2,1.358762240040157,103.817255835084
Singapore,Western Pacific,Urban,2019,13.33,Moderate,2,1.358762240040157,103.817255835084
Austria,Europe,Cities,2019,13.33,Moderate,2,47.592293442958706,14.110430066704852
Belarus,Europe,Rural,2019,13.41,Moderate,2,53.51952055703963,28.014955094802563
Morocco,Eastern Mediterranean,Total,2019,13.44,Moderate,2,29.76685913718276,-8.727847752068008
Slovenia,Europe,Rural,2019,13.44,Moderate,2,46.11589047659146,14.800523261488326
Hungary,Europe,Rural,2019,13.45,Moderate,2,47.1659125111368,19.379267765675568
Paraguay,Americas,Cities,2019,13.5,Moderate,2,-23.208909339152218,-58.443432990284975
Ukraine,Europe,Total,2019,13.51,Moderate,2,49.19560823173951,31.315583848435377
Somalia,Eastern Mediterranean,Towns,2019,13.53,Moderate,2,4.7394062218941135,45.67929283895279
Czechia,Europe,Rural,2019,13.56,Moderate,2,49.73799668128038,15.319440709960443
Republic of Moldova,Europe,Cities,2019,13.63,Moderate,2,47.18717283670143,28.465619168033435
Romania,Europe,Towns,2019,13.71,Moderate,2,45.84841398366041,24.983181796396863
Morocco,Eastern Mediterranean,Urban,2019,13.73,Moderate,2,29.76685913718276,-8.727847752068008
Jamaica,Americas,Rural,2019,13.75,Moderate,2,18.157450872676606,-77.31439583142861
Maldives,South-East Asia,Rural,2019,13.79,Moderate,2,3.7284611744052643,73.45708054812312
Costa Rica,Americas,Rural,2019,13.87,Moderate,2,9.976131265055056,-84.18986953318536
Maldives,South-East Asia,Towns,2019,13.88,Moderate,2,3.7284611744052643,73.45708054812312
Botswana,Africa,Towns,2019,13.9,Moderate,2,-22.16524478709958,23.808612894002028
Morocco,Eastern Mediterranean,Cities,2019,13.92,Moderate,2,29.76685913718276,-8.727847752068008
Jamaica,Americas,Towns,2019,13.99,Moderate,2,18.157450872676606,-77.31439583142861
Italy,Europe,Towns,2019,14.01,Moderate,2,42.71568614580387,12.201048504731768
Comoros,Africa,Rural,2019,14.02,Moderate,2,-11.877908568325992,43.68165678594181
Colombia,Americas,Total,2019,14.04,Moderate,2,3.9034800533900924,-73.07703226574134
Namibia,Africa,Cities,2019,14.04,Moderate,2,-22.069690013855066,17.195019957489034
Hungary,Europe,Towns,2019,14.05,Moderate,2,47.1659125111368,19.379267765675568
Slovenia,Europe,Towns,2019,14.07,Moderate,2,46.11589047659146,14.800523261488326
Slovenia,Europe,Total,2019,14.08,Moderate,2,46.11589047659146,14.800523261488326
Romania,Europe,Urban,2019,14.11,Moderate,2,45.84841398366041,24.983181796396863
Latvia,Europe,Urban,2019,14.13,Moderate,2,56.85952164578425,24.920447008391992
South Africa,Africa,Rural,2019,14.21,Moderate,2,-28.974208514441116,25.193438224147595
Italy,Europe,Total,2019,14.22,Moderate,2,42.71568614580387,12.201048504731768
Costa Rica,Americas,Towns,2019,14.23,Moderate,2,9.976131265055056,-84.18986953318536
Hungary,Europe,Total,2019,14.24,Moderate,2,47.1659125111368,19.379267765675568
Somalia,Eastern Mediterranean,Rural,2019,14.26,Moderate,2,4.7394062218941135,45.67929283895279
Somalia,Eastern Mediterranean,Total,2019,14.28,Moderate,2,4.7394062218941135,45.67929283895279
Czechia,Europe,Total,2019,14.34,Moderate,2,49.73799668128038,15.319440709960443
Kenya,Africa,Towns,2019,14.34,Moderate,2,0.5994488365065361,37.79622826715814
Greece,Europe,Towns,2019,14.37,Moderate,2,39.047959603655926,22.96428544230628
Comoros,Africa,Total,2019,14.37,Moderate,2,-11.877908568325992,43.68165678594181
Comoros,Africa,Towns,2019,14.38,Moderate,2,-11.877908568325992,43.68165678594181
Somalia,Eastern Mediterranean,Urban,2019,14.41,Moderate,2,4.7394062218941135,45.67929283895279
Botswana,Africa,Urban,2019,14.42,Moderate,2,-22.16524478709958,23.808612894002028
Zimbabwe,Africa,Urban,2019,14.47,Moderate,2,-18.997046809067218,29.851013379676168
United Republic of Tanzania,Africa,Rural,2019,14.47,Moderate,2,-6.268247790104617,34.80181064134596
Comoros,Africa,Urban,2019,14.49,Moderate,2,-11.877908568325992,43.68165678594181
Ukraine,Europe,Urban,2019,14.51,Moderate,2,49.19560823173951,31.315583848435377
Cyprus,Europe,Total,2019,14.52,Moderate,2,34.91708733807884,33.00581030462204
Cyprus,Europe,Towns,2019,14.55,Moderate,2,34.91708733807884,33.00581030462204
Slovenia,Europe,Urban,2019,14.6,Moderate,2,46.11589047659146,14.800523261488326
Romania,Europe,Cities,2019,14.61,Moderate,2,45.84841398366041,24.983181796396863
Greece,Europe,Total,2019,14.62,Moderate,2,39.047959603655926,22.96428544230628
Belarus,Europe,Towns,2019,14.67,Moderate,2,53.51952055703963,28.014955094802563
Costa Rica,Americas,Total,2019,14.7,Moderate,2,9.976131265055056,-84.18986953318536
Comoros,Africa,Cities,2019,14.71,Moderate,2,-11.877908568325992,43.68165678594181
Italy,Europe,Urban,2019,14.73,Moderate,2,42.71568614580387,12.201048504731768
Madagascar,Africa,Rural,2019,14.73,Moderate,2,-19.31648369857136,46.742890054388134
Eswatini,Africa,Rural,2019,14.77,Moderate,2,-26.557546489339305,31.48186961105198
Botswana,Africa,Cities,2019,14.78,Moderate,2,-22.16524478709958,23.808612894002028
Czechia,Europe,Towns,2019,14.82,Moderate,2,49.73799668128038,15.319440709960443
Jamaica,Americas,Total,2019,14.83,Moderate,2,18.157450872676606,-77.31439583142861
Hungary,Europe,Urban,2019,14.83,Moderate,2,47.1659125111368,19.379267765675568
Czechia,Europe,Urban,2019,14.9,Moderate,2,49.73799668128038,15.319440709960443
Somalia,Eastern Mediterranean,Cities,2019,14.92,Moderate,2,4.7394062218941135,45.67929283895279
Zimbabwe,Africa,Cities,2019,15.01,Sensitive groups,3,-18.997046809067218,29.851013379676168
Czechia,Europe,Cities,2019,15.03,Sensitive groups,3,49.73799668128038,15.319440709960443
Costa Rica,Americas,Urban,2019,15.06,Sensitive groups,3,9.976131265055056,-84.18986953318536
Eswatini,Africa,Total,2019,15.07,Sensitive groups,3,-26.557546489339305,31.48186961105198
Colombia,Americas,Urban,2019,15.09,Sensitive groups,3,3.9034800533900924,-73.07703226574134
Croatia,Europe,Rural,2019,15.09,Sensitive groups,3,45.07589276948463,16.401052928100896
Ukraine,Europe,Cities,2019,15.2,Sensitive groups,3,49.19560823173951,31.315583848435377
Croatia,Europe,Cities,2019,15.22,Sensitive groups,3,45.07589276948463,16.401052928100896
Croatia,Europe,Total,2019,15.29,Sensitive groups,3,45.07589276948463,16.401052928100896
Mexico,Americas,Rural,2019,15.31,Sensitive groups,3,23.92415518486322,-102.17098532395836
United Republic of Tanzania,Africa,Total,2019,15.36,Sensitive groups,3,-6.268247790104617,34.80181064134596
Nicaragua,Americas,Rural,2019,15.46,Sensitive groups,3,12.84499272075925,-85.03194107361517
Costa Rica,Americas,Cities,2019,15.46,Sensitive groups,3,9.976131265055056,-84.18986953318536
Cyprus,Europe,Urban,2019,15.46,Sensitive groups,3,34.91708733807884,33.00581030462204
Belarus,Europe,Total,2019,15.48,Sensitive groups,3,53.51952055703963,28.014955094802563
Croatia,Europe,Urban,2019,15.49,Sensitive groups,3,45.07589276948463,16.401052928100896
Slovakia,Europe,Rural,2019,15.5,Sensitive groups,3,48.711280810901265,19.468971774212562
Italy,Europe,Cities,2019,15.55,Sensitive groups,3,42.71568614580387,12.201048504731768
Greece,Europe,Urban,2019,15.58,Sensitive groups,3,39.047959603655926,22.96428544230628
Latvia,Europe,Cities,2019,15.64,Sensitive groups,3,56.85952164578425,24.920447008391992
Albania,Europe,Rural,2019,15.65,Sensitive groups,3,41.13487368885515,20.051845908169884
Eswatini,Africa,Towns,2019,15.71,Sensitive groups,3,-26.557546489339305,31.48186961105198
Jamaica,Americas,Urban,2019,15.79,Sensitive groups,3,18.157450872676606,-77.31439583142861
Croatia,Europe,Towns,2019,15.81,Sensitive groups,3,45.07589276948463,16.401052928100896
Cuba,Americas,Urban,2019,15.86,Sensitive groups,3,21.637935340166706,-78.98705412942007
Slovakia,Europe,Total,2019,15.89,Sensitive groups,3,48.711280810901265,19.468971774212562
United Republic of Tanzania,Africa,Cities,2019,15.93,Sensitive groups,3,-6.268247790104617,34.80181064134596
Venezuela (Bolivarian Republic of),Americas,Rural,2019,15.93,Sensitive groups,3,7.122274077470279,-66.17054441322725
Eswatini,Africa,Urban,2019,15.94,Sensitive groups,3,-26.557546489339305,31.48186961105198
Slovenia,Europe,Cities,2019,15.94,Sensitive groups,3,46.11589047659146,14.800523261488326
Colombia,Americas,Cities,2019,15.97,Sensitive groups,3,3.9034800533900924,-73.07703226574134
Mozambique,Africa,Rural,2019,15.99,Sensitive groups,3,-17.195857537030033,35.602727744192414
Nicaragua,Americas,Total,2019,16,Sensitive groups,3,12.84499272075925,-85.03194107361517
Madagascar,Africa,Total,2019,16.02,Sensitive groups,3,-19.31648369857136,46.742890054388134
Hungary,Europe,Cities,2019,16.07,Sensitive groups,3,47.1659125111368,19.379267765675568
Zambia,Africa,Rural,2019,16.1,Sensitive groups,3,-13.455525493308903,27.808581875598183
Venezuela (Bolivarian Republic of),Americas,Towns,2019,16.12,Sensitive groups,3,7.122274077470279,-66.17054441322725
United Republic of Tanzania,Africa,Urban,2019,16.12,Sensitive groups,3,-6.268247790104617,34.80181064134596
Slovakia,Europe,Towns,2019,16.13,Sensitive groups,3,48.711280810901265,19.468971774212562
Ecuador,Americas,Towns,2019,16.14,Sensitive groups,3,-1.424109851653568,-78.74929831943139
Greece,Europe,Cities,2019,16.16,Sensitive groups,3,39.047959603655926,22.96428544230628
Mozambique,Africa,Towns,2019,16.17,Sensitive groups,3,-17.195857537030033,35.602727744192414
Ecuador,Americas,Rural,2019,16.19,Sensitive groups,3,-1.424109851653568,-78.74929831943139
Venezuela (Bolivarian Republic of),Americas,Total,2019,16.21,Sensitive groups,3,7.122274077470279,-66.17054441322725
United Republic of Tanzania,Africa,Towns,2019,16.27,Sensitive groups,3,-6.268247790104617,34.80181064134596
Nicaragua,Americas,Towns,2019,16.27,Sensitive groups,3,12.84499272075925,-85.03194107361517
Slovakia,Europe,Urban,2019,16.27,Sensitive groups,3,48.711280810901265,19.468971774212562
Albania,Europe,Total,2019,16.28,Sensitive groups,3,41.13487368885515,20.051845908169884
Cyprus,Europe,Cities,2019,16.29,Sensitive groups,3,34.91708733807884,33.00581030462204
Seychelles,Africa,Rural,2019,16.3,Sensitive groups,3,-4.6609897523017825,55.47602781845583
Eswatini,Africa,Cities,2019,16.35,Sensitive groups,3,-26.557546489339305,31.48186961105198
Albania,Europe,Towns,2019,16.4,Sensitive groups,3,41.13487368885515,20.051845908169884
Mozambique,Africa,Total,2019,16.45,Sensitive groups,3,-17.195857537030033,35.602727744192414
Bulgaria,Europe,Rural,2019,16.52,Sensitive groups,3,42.77124104978977,25.209132623771715
Venezuela (Bolivarian Republic of),Americas,Urban,2019,16.55,Sensitive groups,3,7.122274077470279,-66.17054441322725
Ecuador,Americas,Total,2019,16.55,Sensitive groups,3,-1.424109851653568,-78.74929831943139
Mexico,Americas,Towns,2019,16.58,Sensitive groups,3,23.92415518486322,-102.17098532395836
Albania,Europe,Urban,2019,16.58,Sensitive groups,3,41.13487368885515,20.051845908169884
Slovakia,Europe,Cities,2019,16.64,Sensitive groups,3,48.711280810901265,19.468971774212562
Venezuela (Bolivarian Republic of),Americas,Cities,2019,16.7,Sensitive groups,3,7.122274077470279,-66.17054441322725
Albania,Europe,Cities,2019,16.7,Sensitive groups,3,41.13487368885515,20.051845908169884
Malaysia,Western Pacific,Rural,2019,16.71,Sensitive groups,3,3.811140433067237,109.69934297070633
Nicaragua,Americas,Urban,2019,16.73,Sensitive groups,3,12.84499272075925,-85.03194107361517
Madagascar,Africa,Towns,2019,16.74,Sensitive groups,3,-19.31648369857136,46.742890054388134
Zambia,Africa,Total,2019,16.9,Sensitive groups,3,-13.455525493308903,27.808581875598183
Ecuador,Americas,Urban,2019,16.91,Sensitive groups,3,-1.424109851653568,-78.74929831943139
Bhutan,South-East Asia,Cities,2019,16.91,Sensitive groups,3,27.412137795939046,90.40215959871236
Bhutan,South-East Asia,Urban,2019,16.91,Sensitive groups,3,27.412137795939046,90.40215959871236
Georgia,Europe,Rural,2019,16.93,Sensitive groups,3,42.172941984875564,43.52425602662823
Seychelles,Africa,Total,2019,16.96,Sensitive groups,3,-4.6609897523017825,55.47602781845583
Lesotho,Africa,Rural,2019,17.03,Sensitive groups,3,-29.5790637000742,28.228962109094883
South Africa,Africa,Towns,2019,17.04,Sensitive groups,3,-28.974208514441116,25.193438224147595
Nicaragua,Americas,Cities,2019,17.07,Sensitive groups,3,12.84499272075925,-85.03194107361517
Belarus,Europe,Urban,2019,17.19,Sensitive groups,3,53.51952055703963,28.014955094802563
Bulgaria,Europe,Total,2019,17.29,Sensitive groups,3,42.77124104978977,25.209132623771715
Zambia,Africa,Towns,2019,17.29,Sensitive groups,3,-13.455525493308903,27.808581875598183
Cambodia,Western Pacific,Towns,2019,17.3,Sensitive groups,3,12.719494903029029,104.90533757185675
Ecuador,Americas,Cities,2019,17.31,Sensitive groups,3,-1.424109851653568,-78.74929831943139
Lesotho,Africa,Towns,2019,17.35,Sensitive groups,3,-29.5790637000742,28.228962109094883
Poland,Europe,Rural,2019,17.36,Sensitive groups,3,52.11183561214399,19.419706287902866
Cambodia,Western Pacific,Rural,2019,17.43,Sensitive groups,3,12.719494903029029,104.90533757185675
Seychelles,Africa,Towns,2019,17.44,Sensitive groups,3,-4.6609897523017825,55.47602781845583
Seychelles,Africa,Urban,2019,17.44,Sensitive groups,3,-4.6609897523017825,55.47602781845583
Belarus,Europe,Cities,2019,17.51,Sensitive groups,3,53.51952055703963,28.014955094802563
Mozambique,Africa,Urban,2019,17.51,Sensitive groups,3,-17.195857537030033,35.602727744192414
Lesotho,Africa,Total,2019,17.6,Sensitive groups,3,-29.5790637000742,28.228962109094883
Jamaica,Americas,Cities,2019,17.6,Sensitive groups,3,18.157450872676606,-77.31439583142861
Viet Nam,Western Pacific,Rural,2019,17.67,Sensitive groups,3,16.54429751476791,106.34650781487963
Indonesia,South-East Asia,Towns,2019,17.74,Sensitive groups,3,-2.2640678135827765,117.17972980513929
Israel,Europe,Rural,2019,17.79,Sensitive groups,3,31.432978642252852,34.99113819680126
Cambodia,Western Pacific,Total,2019,17.8,Sensitive groups,3,12.719494903029029,104.90533757185675
Mexico,Americas,Total,2019,17.83,Sensitive groups,3,23.92415518486322,-102.17098532395836
Montenegro,Europe,Towns,2019,17.89,Sensitive groups,3,42.7880033111823,19.238630666900214
Montenegro,Europe,Urban,2019,17.93,Sensitive groups,3,42.7880033111823,19.238630666900214
Malawi,Africa,Rural,2019,18.18,Sensitive groups,3,-13.204425371177713,34.2828475261884
Montenegro,Europe,Cities,2019,18.3,Sensitive groups,3,42.7880033111823,19.238630666900214
Cambodia,Western Pacific,Urban,2019,18.35,Sensitive groups,3,12.719494903029029,104.90533757185675
Madagascar,Africa,Urban,2019,18.43,Sensitive groups,3,-19.31648369857136,46.742890054388134
Mexico,Americas,Urban,2019,18.43,Sensitive groups,3,23.92415518486322,-102.17098532395836
Indonesia,South-East Asia,Rural,2019,18.45,Sensitive groups,3,-2.2640678135827765,117.17972980513929
Bulgaria,Europe,Towns,2019,18.49,Sensitive groups,3,42.77124104978977,25.209132623771715
Mozambique,Africa,Cities,2019,18.52,Sensitive groups,3,-17.195857537030033,35.602727744192414
Malawi,Africa,Towns,2019,18.54,Sensitive groups,3,-13.204425371177713,34.2828475261884
Lesotho,Africa,Urban,2019,18.55,Sensitive groups,3,-29.5790637000742,28.228962109094883
Bulgaria,Europe,Urban,2019,18.56,Sensitive groups,3,42.77124104978977,25.209132623771715
Malawi,Africa,Total,2019,18.57,Sensitive groups,3,-13.204425371177713,34.2828475261884
Honduras,Americas,Rural,2019,18.59,Sensitive groups,3,14.829080278153802,-86.61761478647557
Djibouti,Eastern Mediterranean,Towns,2019,18.62,Sensitive groups,3,11.748306715529626,42.56007887989951
Bulgaria,Europe,Cities,2019,18.63,Sensitive groups,3,42.77124104978977,25.209132623771715
Georgia,Europe,Towns,2019,18.64,Sensitive groups,3,42.172941984875564,43.52425602662823
Cuba,Americas,Cities,2019,18.71,Sensitive groups,3,21.637935340166706,-78.98705412942007
Israel,Europe,Towns,2019,18.76,Sensitive groups,3,31.432978642252852,34.99113819680126
Chile,Americas,Rural,2019,18.82,Sensitive groups,3,-36.07624655390582,-71.05619085495837
Poland,Europe,Total,2019,18.83,Sensitive groups,3,52.11183561214399,19.419706287902866
Zambia,Africa,Urban,2019,18.85,Sensitive groups,3,-13.455525493308903,27.808581875598183
Honduras,Americas,Total,2019,18.93,Sensitive groups,3,14.829080278153802,-86.61761478647557
Mexico,Americas,Cities,2019,19.04,Sensitive groups,3,23.92415518486322,-102.17098532395836
Georgia,Europe,Total,2019,19.06,Sensitive groups,3,42.172941984875564,43.52425602662823
